427.html	2525	Dragon Quest Heroes 2 Gets Western Release Date - IGN	http://www.ign.com/articles/2016/12/08/dragon-quest-heroes-2-gets-western-release-date
1396.html	1435	Driving Passion in Games - Part 2: Catch-A-Ride - Blog by andri_g - IGN	http://www.ign.com/blogs/andri_g/2016/12/07/driving-passion-in-games-part-2-catch-a-ride
1761.html	1321	Community Events - IGN Community Central - IGN	http://www.ign.com/wikis/ign-community-central/Community_Events
708.html	2732	Office Christmas Party Review - IGN	http://www.ign.com/articles/2016/12/08/office-christmas-party-review
1485.html	14392	The Last of Us Part 2: Theory, Analysis, and Details You Might Have Missed - YouTube	https://www.youtube.com/watch?v=4GC4x0I0g4I
1469.html	13317	Every Avenger Ever - YouTube	https://www.youtube.com/watch?v=0zsm8b_8TZ4
1013.html	1534	Strafe Videos, Movies & Trailers - PC - IGN	http://www.ign.com/videos/games/strafe-pc-20030452
87.html	2032	IGN Deals | Deals on Electronics, Games, Hardware, Entertainment  & more	http://www.ign.com/deals/
124.html	2681	Guitar Hero, Skylanders Developer Vicarious Visions Working on Destiny - IGN	http://www.ign.com/articles/2016/12/08/guitar-hero-skylanders-developer-vicarious-visions-working-on-destiny?read
732.html	3285	The Flash: "The Present" Review - IGN	http://www.ign.com/articles/2016/12/07/the-flash-the-present-review?read
1253.html	1902	~*~*~*Yu-Gi-Oh! Community Thread - Brooklyn Rage Edition~*~*~* | Page 185 | IGN Boards	http://www.ign.com/boards/threads/yu-gi-oh-community-thread-brooklyn-rage-edition.453251199/page-185
188.html	4017	IGN Türkiye	http://tr.ign.com
1833.html	1414	Rogue One is Already Beating Suicide Squad and Dr. Strange Records - IGN Video	http://www.ign.com/videos/2016/12/02/rogue-one-is-already-beating-suicide-squad-and-dr-strange-records
1209.html	2561	Pikmin | IGN Boards	http://www.ign.com/boards/forums/pikmin.6120/
606.html	2428	One of Elder Scrolls' Most Beloved Characters Is Coming to Elder Scrolls Legends - IGN	http://www.ign.com/articles/2016/12/08/one-of-elder-scrolls-most-beloved-characters-is-coming-to-elder-scrolls-legends
710.html	1907	Baywatch Official Teaser Trailer - IGN Video	http://www.ign.com/videos/2016/12/08/baywatch-official-teaser-trailer
799.html	2203	IGN Unfiltered Episode 13: Inventor and Oculus Co-Founder Jack McCauley - IGN	http://www.ign.com/articles/2016/12/01/ign-unfiltered-episode-13-inventor-and-oculus-co-founder-jack-mccauley
1108.html	3437	Nintendo Lobby	http://www.ign.com/boards/forums/nintendo-lobby.80041/index.rss
1317.html	2296	Other Sports	http://www.ign.com/boards/forums/other-sports.10753/index.rss
1865.html	3137	IGN Anime Club Episode 74 - Leave Lelouch Alone - IGN	http://www.ign.com/articles/2016/11/30/ign-anime-club-episode-74-leave-lelouch-alone?watch
1828.html	1595	These New Metal Gear Solid 3 Pachinko Screens Are Heartbreaking - IGN Video	http://www.ign.com/videos/2016/11/20/these-new-metal-gear-solid-3-pachinko-screens-are-heartbreaking
1085.html	1978	Quick Navigation Menu | IGN Boards	http://www.ign.com/boards/misc/quick-navigation-menu
1857.html	2041	Peer Schneider - Top Movie Trailers, Top Video Game Trailers - IGN	http://www.ign.com/watch/peer-schneider
1503.html	13733	Zelda: Breath of the Wild's New Gameplay Reveal - IGN Daily Fix - YouTube	https://www.youtube.com/watch?v=wZac0gK55YA
614.html	3063	Oculus Touch Controllers Review - IGN	http://www.ign.com/articles/2016/12/05/oculus-touch-controllers-review
1271.html	2492	Rock | IGN Boards	http://www.ign.com/boards/forums/rock.5114/
1947.html	1363	Scared Senseless: Episode 1 - Beginning the Dark Descent - IGN Video	http://www.ign.com/videos/2016/11/30/scared-senseless-episode-1-beginning-the-dark-descent
1875.html	3066	IGN Anime Club Episode 71 - Britney Spears Is a Weeaboo - IGN	http://www.ign.com/articles/2016/11/09/ign-anime-club-episode-71-britney-spears-is-a-weeaboo?watch
1366.html	2266	Site, Prime, Article Comments, Blog & MyIGN Issues	http://www.ign.com/boards/forums/site-prime-article-comments-blog-myign-issues.9117/index.rss
475.html	2321	Darkest Dungeon Review - IGN	http://www.ign.com/articles/2016/01/27/darkest-dungeon-review?read
1806.html	1733	Stories You May Have Missed: No Man's Sky Cleared of Misleading PR - IGN Daily Fix - IGN Video	http://www.ign.com/videos/2016/12/03/stories-you-may-have-missed-no-mans-sky-cleared-of-misleading-pr-ign-daily-fix
1888.html	3174	Oculus Co-Founder: Traditional Console Games Will Be Around 'for a Long Time' â€” IGN Unfiltered - IGN	http://www.ign.com/articles/2016/11/30/oculus-co-founder-traditional-console-games-will-be-around-for-a-long-time-a-ign-unfiltered?watch
1709.html	4067	Alienware (@Alienware) | Twitter	https://twitter.com/Alienware
737.html	2578	New Photos From Marvel's Iron Fist Include Claire Temple, Colleen Wing and More - IGN	http://www.ign.com/articles/2016/12/06/new-photos-from-marvels-iron-fist-include-claire-temple-colleen-wing-and-more?read
709.html	1907	Baywatch Official Teaser Trailer - IGN Video	http://www.ign.com/videos/2016/12/08/baywatch-official-teaser-trailer
1931.html	1347	Stranger Things Director Heads Into Uncharted Territory - IGN Keepin' It Reel - IGN Video	http://www.ign.com/videos/2016/10/30/stranger-things-director-heads-into-uncharted-territory-ign-keepin-it-reel
1757.html	1322	Livefyre and Comments - IGN Community Central - IGN	http://www.ign.com/wikis/ign-community-central/Livefyre_and_Comments
1101.html	1731	Gaming | IGN Boards	http://www.ign.com/boards/categories/gaming.80142/
315.html	1681	Xbox Live Black Friday 2016 Deals - IGN	http://www.ign.com/wikis/black-friday-cyber-monday/Xbox_Live_Black_Friday_2016_Deals
1918.html	2033	Eric Goldman - Top Movie Trailers, Top Video Game Trailers - IGN	http://www.ign.com/watch/eric-goldman
1468.html	13371	Every X-Man Ever - YouTube	https://www.youtube.com/watch?v=wqT4hXxnjYE
1184.html	2603	Madden NFL | IGN Boards	http://www.ign.com/boards/forums/madden-nfl.5973/
159.html	4151	IGN Adria	http://adria.ign.com/sl/
696.html	2622	Star Wars: Here's the Advice George Lucas Gave to Rogue One Director Gareth Edwards - IGN	http://www.ign.com/articles/2016/12/02/star-wars-heres-the-advice-george-lucas-gave-to-rogue-one-director-gareth-edwards
1545.html	13920	Rogue One is Already Beating Suicide Squad and Dr. Strange Records - Up At Noon Live! - YouTube	https://www.youtube.com/watch?v=a3L3hYuSxAE
1943.html	2593	Kyle O'Connor - Top Movie Trailers, Top Video Game Trailers - IGN	http://www.ign.com/watch/kyle-oconnor
1001.html	1767	Demon's Crest - Nintendo 3DS - IGN	http://www.ign.com/games/demons-crest/3ds-20062533
510.html	1609	Pox Nora - PlayStation Vita - IGN	http://www.ign.com/games/pox-nora/vita-20055025
1278.html	1532	IGN SFCB Secret Santa | IGN Boards	http://www.ign.com/boards/threads/ign-sfcb-secret-santa.454894492/
147.html	1756	The Walking Dead: A Telltale Game Series -- A New Frontier - Xbox 360 - IGN	http://www.ign.com/games/the-walking-dead-a-telltale-game-series-season-3/xbox-360-20022255
1999.html	1958	Horizon: Zero Dawn PSX 2016 Trailer - Top Movie Trailers, Top Video Game Trailers - IGN	http://www.ign.com/trailers/horizon-zero-dawn-psx-2016-trailer
1993.html	1962	Death Stranding: Mads Mikkelsen Game Awards Announcement Trailer - Top Movie Trailers, Top Video Game Trailers - IGN	http://www.ign.com/trailers/death-stranding-mads-mikkelsen-game-awards-announcement-trailer
554.html	2083	The Best and Worst New Pokemon in Sun and Moon - IGN Video	http://www.ign.com/videos/2016/11/25/the-best-and-worst-new-pokemon-in-sun-and-moon
1560.html	13747	IGN's Top 10 Bruce Lee Fight Scenes - YouTube	https://www.youtube.com/watch?v=hN7HnqzBwsc
1819.html	1367	Star Wars AT-AT Toys Have Changed a Lot in 20 Years - IGN Video	http://www.ign.com/videos/2016/12/05/star-wars-at-at-toys-have-changed-a-lot-in-20-years
1765.html	4231	Unlocked - Top Movie Trailers, Top Video Game Trailers - IGN	http://www.ign.com/watch/unlocked
1621.html	9554	  Unlocked
 - YouTube	https://www.youtube.com/channel/UCTqWN7lps75nnS07twBfVhw
536.html	1750	Harvest Moon: Seeds of Memories - Wii U - IGN	http://www.ign.com/games/harvest-moon-seeds-of-memories/wii-u-20038123
1386.html	1533	Blog by SimonCowellnetworth - IGN	http://www.ign.com/blogs/simoncowellnetworth
419.html	2603	PS4 Pro Game Upgrades and Differences - PlayStation 4 Wiki Guide - IGN	http://www.ign.com/wikis/playstation-4/PS4_Pro_Game_Upgrades_and_Differences
1893.html	3143	Future of VR 'Not Necessarily Gaming,' Says Former Oculus Chief Engineer â€“ IGN Unfiltered - IGN	http://www.ign.com/articles/2016/11/28/future-of-vr-not-necessarily-gaming-says-oculus-chief-engineer-a-ign-unfiltered?watch
1324.html	2752	Android Board	http://www.ign.com/boards/forums/android-board.80151/index.rss
1157.html	2556	Fallout | IGN Boards	http://www.ign.com/boards/forums/fallout.5729/
1756.html	3226	God Eater Sweepstakes Official Rules - IGN Community Central - IGN	http://www.ign.com/wikis/ign-community-central/God_Eater_Sweepstakes_Official_Rules
1355.html	2464	Announcements | IGN Boards	http://www.ign.com/boards/forums/announcements.14/
464.html	1168	Upcoming PS3 Games: Release Dates - IGN	http://www.ign.com/games/upcoming/ps3
519.html	2778	Top 10 Scariest Pokemon - IGN	http://www.ign.com/articles/2016/10/24/top-10-scariest-pokemon
1008.html	1004	Create a Wiki - IGN	http://www.ign.com/wikis/create?objectid=20062331
1753.html	2231	Beginner's Guide to Wikis - How To Wiki Guide - IGN	http://www.ign.com/wikis/how-to/Beginner%27s_Guide_to_Wikis
32.html	3051	Podcast Beyond Episode 471: Our Death Stranding and Last of Us Part II Theories - IGN	http://www.ign.com/articles/2016/12/07/podcast-beyond-episode-471-our-death-stranding-and-last-of-us-2-theories?watch
1713.html	2513	Twitter 上的 #RogueOne 推標	https://twitter.com/hashtag/RogueOne?src=hash
790.html	3063	Oculus Touch Controllers Review - IGN	http://www.ign.com/articles/2016/12/05/oculus-touch-controllers-review
1693.html	4077	IGN (@IGN) | Twitter	https://twitter.com/IGN
1374.html	1862	Beginner Tips for Writing - IGN Community Central - IGN	http://www.ign.com/wikis/ign-community-central/Beginner_Tips_for_Writing
484.html	2414	TGS 2016: Musou Stars Announced for PS4 and PS Vita - IGN	http://www.ign.com/articles/2016/09/13/tgs-2016-musou-stars-announced-for-ps4-and-ps-vita?watch
185.html	5671	IGN España	http://es.ign.com/
1192.html	2662	Metal Gear Solid | IGN Boards	http://www.ign.com/boards/forums/metal-gear-solid.5200/
754.html	2604	The Walking Dead Midseason Finale: Beware the Zombie Pond!  - IGN	http://www.ign.com/articles/2016/12/08/the-walking-dead-midseason-finale-beware-the-zombie-pond
1148.html	2629	Donkey Kong | IGN Boards	http://www.ign.com/boards/forums/donkey-kong.5645/
1919.html	3331	Keepin' It Reel: The Final Episode ... Before We Relaunch as the IGN Movies Show - IGN	http://www.ign.com/articles/2016/12/02/keepin-it-reel-the-final-episode-before-we-relaunch-as-the-ign-movies-show?watch
1446.html	4759	  IGN
 - YouTube	https://www.youtube.com/user/IGNentertainment/about
1717.html	3145	IGN 在 Twitter："Today we have @SquareEnixMtl + @KOOPMode joining us on #UpAtNoon!

Watch the show here: https://t.co/uurfIBrMdr https://t.co/u6pLoepiJn"	https://twitter.com/IGN/status/806951565592399872
794.html	1413	Star Wars Battlefront: Rogue One X-Wing VR Full Mission Gameplay - IGN Video	http://www.ign.com/videos/2016/12/02/star-wars-battlefront-rogue-one-x-wing-vr-full-mission-gameplay
524.html	2714	Nintendo Switch Private Hands-On Event to Take Place on January 13 - IGN	http://www.ign.com/articles/2016/11/29/nintendo-switch-new-york-hands-on-event-to-take-place-on-january-13
556.html	2151	Pokemon Sun Version - Ula'ula Meadow - Pokemon: Sun and Moon Walkthrough - IGN Video	http://www.ign.com/videos/2016/12/08/pokemon-sun-and-moon-walkthrough-ulaula-meadow
1362.html	1394	Can we get the old bigger icon sizes back? | IGN Boards	http://www.ign.com/boards/threads/can-we-get-the-old-bigger-icon-sizes-back.454883499/
471.html	3008	World of Final Fantasy Review - IGN	http://www.ign.com/articles/2016/10/25/world-of-final-fantasy-review?read
1548.html	13707	Here's What $280 Worth of Star Wars Socks Looks Like - Up At Noon Live - YouTube	https://www.youtube.com/watch?v=6X-fWJD4Vd0
187.html	4017	IGN Türkiye	http://tr.ign.com/
1313.html	1635	Damn this place is dead | IGN Boards	http://www.ign.com/boards/threads/damn-this-place-is-dead.454863167/
1571.html	13605	IGN's Top 10 Zelda Games of All Time - YouTube	https://www.youtube.com/watch?v=S4VJ29yH2Kc
14.html	3067	PC Games, Wikis, Cheats, Walkthroughs, News, Reviews & Videos - IGN	http://www.ign.com/pc
1185.html	2690	Mario Bros. | IGN Boards	http://www.ign.com/boards/forums/mario-bros.5215/
1227.html	2532	Soulcalibur | IGN Boards	http://www.ign.com/boards/forums/soulcalibur.5260/
624.html	1540	Upcoming PC Games: Release Dates - IGN	http://www.ign.com/games/upcoming/pc
1434.html	1617	A Constructive Review Introduction - Blog by Constructive_Review - IGN	http://www.ign.com/blogs/constructive_review/2016/12/05/a-constructive-review-introduction
1323.html	4097	What are your top 3 mobile games right now? | IGN Boards	http://www.ign.com/boards/threads/what-are-your-top-3-mobile-games-right-now.454823940/
1204.html	2581	NHL (EA Sports) | IGN Boards	http://www.ign.com/boards/forums/nhl-ea-sports.6062/
986.html	1665	Abzu Videos, Movies & Trailers - Xbox One - IGN	http://www.ign.com/videos/games/abzu-xbox-one-20060928
466.html	3087	PS Vita a 'Great Machine' But 'Too Late,' Says Former Sony Exec â€“ IGN Unfiltered - IGN	http://www.ign.com/articles/2016/09/26/ps-vita-a-great-machine-but-too-late-says-former-sony-exec-a-ign-unfiltered
21.html	2264	Upcoming Games at IGN	http://www.ign.com/games/upcoming
1364.html	2541	Site, Prime, Article Comments, Blog & MyIGN Issues | IGN Boards	http://www.ign.com/boards/forums/site-prime-article-comments-blog-myign-issues.9117/
477.html	1971	Salt and Sanctuary - Currents Trailer - IGN Video	http://www.ign.com/videos/2015/12/02/salt-and-sanctuary-currents-trailer
1539.html	16331	These Might Be the Best Street Fighter Figures Ever Made - YouTube	https://www.youtube.com/watch?v=iVmqMe9Hpso&list=PLraFbwCoisJDET9N2S4Edc6UYR5WHq-fN
1803.html	1232	PS4 Pro Reactions and Impressions - IGN Video	http://www.ign.com/videos/2016/09/08/ps4-pro-reactions-and-impressions
802.html	3973	Are Guns in Video Games Holding the Medium Back?  - IGN	http://www.ign.com/articles/2016/12/01/are-guns-in-video-games-holding-the-medium-back
550.html	2229	Evolutionary Items - Pokemon Sun & Pokemon Moon Wiki Guide - IGN	http://www.ign.com/wikis/pokemon-sun-pokemon-moon/Evolutionary_Items
1465.html	72112	Verification badges on channels - YouTube Help	https://support.google.com/youtube/answer/3046484?hl=en
1316.html	1341	Any Skimboarders Here? | IGN Boards	http://www.ign.com/boards/threads/any-skimboarders-here.454862189/
142.html	2741	Assassin’s Creed: The Ezio Collection Review - IGN	http://www.ign.com/articles/2016/11/23/assassinas-creed-the-ezio-collection-review
1156.html	2562	Fable | IGN Boards	http://www.ign.com/boards/forums/fable.6152/
1892.html	3143	Future of VR 'Not Necessarily Gaming,' Says Former Oculus Chief Engineer â€“ IGN Unfiltered - IGN	http://www.ign.com/articles/2016/11/28/future-of-vr-not-necessarily-gaming-says-oculus-chief-engineer-a-ign-unfiltered?watch
1519.html	14402	The Last of Us Part 2 Reveal Trailer - PSX 2016 - YouTube	https://www.youtube.com/watch?v=wztdA-V18vs
1283.html	1389	Have you ever seen disney cartoons in terminator version ? | IGN Boards	http://www.ign.com/boards/threads/have-you-ever-seen-disney-cartoons-in-terminator-version.454853929/
1093.html	2861	The GCB	http://www.ign.com/boards/forums/the-gcb.5313/index.rss
1197.html	2620	Monster Hunter | IGN Boards	http://www.ign.com/boards/forums/monster-hunter.6950/
465.html	3008	World of Final Fantasy Review - IGN	http://www.ign.com/articles/2016/10/25/world-of-final-fantasy-review
1354.html	1357	Support & Feedback | IGN Boards	http://www.ign.com/boards/categories/support-feedback.80267/
619.html	1768	Mighty Morphin Power Rangers: Mega Battle - PC - IGN	http://www.ign.com/games/power-rangers-mega-battle/pc-20059895
1746.html	8	FAQs about adding location to your Tweets | Twitter Help Center	https://support.twitter.com/articles/78525
1128.html	2628	Assassin's Creed | IGN Boards	http://www.ign.com/boards/forums/assassins-creed.8627/
741.html	1980	Dragon Ball Super Dub Clip - Goku and King Kai - IGN Video	http://www.ign.com/videos/2016/12/02/dragon-ball-super-dub-clip-goku-and-king-kai
1795.html	2828	The 5 Most Popular Dota 2 Heroes - IGN	http://www.ign.com/articles/2016/12/07/the-5-most-popular-dota-2-heroes?watch
716.html	2624	Your Name. Review - IGN	http://www.ign.com/articles/2016/12/06/your-name-review
669.html	1787	Apollo Justice: Ace Attorney - iPhone - IGN	http://www.ign.com/games/apollo-justice-ace-attorney/iphone-20060196
199.html	650	IGN Entertainment	http://corp.ign.com/
856.html	1596	Steep Cheats, Codes, Unlockables - PlayStation 4 - IGN	http://www.ign.com/cheats/games/steep-ps4-20054837
271.html	9587		http://oyster.ignimgs.com/wordpress/stg.ign.com/2015/10/Arrow-Damien-Darhk.jpg
1981.html	2112	The Last of Us Part 2 & Uncharted The Lost Legacy: IGN Live Reacts - IGN Video	http://www.ign.com/videos/2016/12/03/the-last-of-us-part-2-uncharted-the-lost-legacy-ign-live-reacts
1814.html	2109	History of Awesome - Mass Effect - IGN Video	http://www.ign.com/videos/2016/09/10/history-of-awesome-mass-effect
181.html	5024	IGN Portugal	http://pt.ign.com/
1521.html	14381	Ultimate Marvel vs. Capcom 3 PS4 Announcement Trailer - YouTube	https://www.youtube.com/watch?v=KisPHmxD7tQ
20.html	2321	Game Reviews at IGN	http://www.ign.com/games/reviews
449.html	2702	The Walking Dead: Michonne - Episode 2 Review - IGN	http://www.ign.com/articles/2016/04/01/the-walking-dead-michonne-episode-2-review?read
1338.html	2542	International | IGN Boards	http://www.ign.com/boards/forums/international.8184/
945.html	1763	Halo Wars Wiki Guide - IGN	http://www.ign.com/wikis/halo-wars?objectid=20054810
4.html	3062	Westworld: 7 Likeliest Theories About Season 2 - IGN	http://www.ign.com/articles/2016/12/08/westworld-7-likeliest-theories-about-season-2
1961.html	1302	Jedi Michonne Killing Zombies with a Lightsaber (Star Wars / Walking Dead Mash Up) - IGN Video	http://www.ign.com/videos/2016/03/01/jedi-michonne-killing-zombies-with-a-lightsaber-star-wars-walking-dead-mash-up
941.html	1398	Resident Evil 7 Screenshots, Pictures, Wallpapers - Xbox One - IGN	http://www.ign.com/images/games/resident-evil-7-xbox-one-20054863
1279.html	2313	Television	http://www.ign.com/boards/forums/television.10502/index.rss
1810.html	2068	Marvel vs. Capcom Infinite: IGN Live Reacts - IGN Video	http://www.ign.com/videos/2016/12/03/marvel-vs-capcom-infinite-ign-live-reacts
1180.html	2672	Legend of Zelda | IGN Boards	http://www.ign.com/boards/forums/legend-of-zelda.5188/
1593.html	4054	Dead Rising 4 Review - YouTube	https://www.youtube.com/watch?v=OOsi5u5EPPU
431.html	3344	Killing Floor 2 Review - IGN	http://www.ign.com/articles/2016/11/23/killing-floor-2-review
42.html	2577	Prepare to Try - Top Movie Trailers, Top Video Game Trailers - IGN	http://www.ign.com/watch/prepare-to-try
1188.html	2632	Marvel vs Capcom | IGN Boards	http://www.ign.com/boards/forums/marvel-vs-capcom.5988/
775.html	2571	Superhypercube Review - IGN	http://www.ign.com/articles/2016/10/05/superhypercube-review
332.html	2077	8 Things The Elder Scrolls Series Needs to Change - IGN Video	http://www.ign.com/videos/2016/12/08/8-things-the-elder-scrolls-series-needs-to-change
478.html	2852	Severed Review - IGN	http://www.ign.com/articles/2016/04/26/severed-review?watch
750.html	2588	These 90s Batmobile And Batwing Toys Are Spot-On Animated Series Replicas - IGN	http://www.ign.com/articles/2016/12/08/these-90s-batmobile-and-batwing-toys-are-spot-on-animated-series-replicas
1327.html	2860	Tech Board	http://www.ign.com/boards/forums/tech-board.5124/index.rss
58.html	3155	Daily Deals: Oculus Rift, Miyazaki Movies, PS4 With Free PS Plus - IGN	http://www.ign.com/articles/2016/12/08/daily-deals-oculus-rift-miyazaki-movies-ps4-with-free-ps-plus/
441.html	4199	Top 10 Secret Bosses in Video Games - IGN	http://www.ign.com/articles/2016/05/05/top-10-secret-bosses-in-video-games
1330.html	2471	Cars Lobby	http://www.ign.com/boards/forums/cars-lobby.5126/index.rss
184.html	3900	IGN Southeast Asia	http://sea.ign.com/
198.html	9460	
	IT Communities - Share Knowledge at Toolbox.com
	http://it.toolbox.com/
1407.html	1958	Blog by BoxingLive - IGN	http://www.ign.com/blogs/boxinglive
899.html	1736	Assassin's Creed: The Ezio Collection Wiki Guide - IGN	http://www.ign.com/wikis/assassins-creed-the-ezio-collection?objectid=20058808
746.html	2509	Legends of Tomorrow: The Legion of Doom Strikes in the Midseason Finale - IGN	http://www.ign.com/articles/2016/12/08/legends-of-tomorrow-the-legion-of-doom-strikes-in-the-midseason-finale
385.html	2646	Batman: The Telltale Series Episode 5 Release Date Announced - IGN	http://www.ign.com/articles/2016/12/07/batman-the-telltale-series-episode-5-release-date-announced
212.html	2495	Spider-Man: Homecoming Star Tom Holland Calls Vulture's Debut 'Like a Horror Movie' - IGN	http://www.ign.com/articles/2016/12/09/spider-man-homecoming-star-tom-holland-calls-vultures-debut-like-a-horror-movie
1797.html	1649	IGN News Videos & Episodes - IGN	http://www.ign.com/videos/series/ign-news
714.html	2925	Lethal Weapon: "Jingle Bell Glock" Review - IGN	http://www.ign.com/articles/2016/12/08/lethal-weapon-jingle-bell-glock-review
939.html	2016	Resident Evil VII Wiki Guide - IGN	http://www.ign.com/wikis/resident-evil-7
969.html	1512	Bulletstorm Videos, Movies & Trailers - PlayStation 4 - IGN	http://www.ign.com/videos/games/bulletstorm-full-clip-edition-ps4-20059600
423.html	1410	These Might Be the Best Street Fighter Figures Ever Made - IGN Video	http://www.ign.com/videos/2016/12/08/these-might-be-the-best-street-fighter-figures-ever-made
1392.html	1512	Blog by Popcultkid5555 - IGN	http://www.ign.com/blogs/popcultkid5555
1091.html	2606	The GCB | IGN Boards	http://www.ign.com/boards/forums/the-gcb.5313/
517.html	2083	Zelda Breath of the Wild: Game Awards Teaser - IGN Video	http://www.ign.com/videos/2016/12/02/zelda-breath-of-the-wild-game-awards-teaser
1006.html	1304	Ys Origin Videos, Movies & Trailers - PlayStation 4 - IGN	http://www.ign.com/videos/games/ys-origin-ps4-20062330
1403.html	269	Share a link on Twitter	https://twitter.com/intent/tweet?url=http%3A%2F%2Fwww.ign.com%2Fblogs%2Fjasonstanley2e%2F2016%2F12%2F07%2Fscratch-map&text=Scratch%20Map%20via%20%40ign%20%23e3&original_referer=
755.html	2604	The Walking Dead Midseason Finale: Beware the Zombie Pond!  - IGN	http://www.ign.com/articles/2016/12/08/the-walking-dead-midseason-finale-beware-the-zombie-pond
538.html	1456	Gravity+ - Wii U - IGN	http://www.ign.com/games/gravity-plus/wii-u-20062292
1043.html	3939	Cheats - The Elder Scrolls V: Skyrim Wiki Guide - IGN	http://www.ign.com/wikis/the-elder-scrolls-5-skyrim/Cheats
135.html	3411	Pokemon Sun and Moon Review - IGN	http://www.ign.com/articles/2016/11/15/pokemon-sun-and-moon-review
1643.html	4698	IGN (@IGN) | Twitter	https://twitter.com/IGN?lang=ca
1477.html	13777	These Prompto Sanpshots in Final Fantasy XV are Breathtaking - #IGNPS4Shares of the Week - YouTube	https://www.youtube.com/watch?v=B2Sdg2JRTRQ
1510.html	5556	  Everything PSX 2016!
 - YouTube	https://www.youtube.com/playlist?list=PLraFbwCoisJDGNMvYoK8UTa1LlMgUhY0U
717.html	2679	Paterson Review - IGN	http://www.ign.com/articles/2016/12/02/paterson-review
1794.html	2028	Dead Rising 4 is Every Bit as Insane As I Hoped - IGN Video	http://www.ign.com/videos/2016/07/23/dead-rising-4-is-every-bit-as-insane-as-i-hoped
1972.html	1484	GTA 5 Cinema: Recreating 5 Iconic Movie Scenes - IGN Video	http://www.ign.com/videos/2015/06/26/gta-5-cinema-recreating-5-iconic-movie-scenes
1779.html	3115	Andrew Goldfarb - Top Movie Trailers, Top Video Game Trailers - IGN	http://www.ign.com/watch/andrew-goldfarb
676.html	1625	ClockWork - iPhone - IGN	http://www.ign.com/games/clockwork/iphone-20032839
1099.html	2801	Portland to raise taxes on companies whose CEO make 100+ times average worker | IGN Boards	http://www.ign.com/boards/threads/portland-to-raise-taxes-on-companies-whose-ceo-make-100-times-average-worker.454894642/
1546.html	13726	Final Fantasy XV (Finally), Rogue Oneâ€™s AT-ATs and The Game Awards! - Up At Noon Live! - YouTube	https://www.youtube.com/watch?v=0ZOon0PlO48
213.html	3245	Arrow: "What We Leave Behind" Review - IGN	http://www.ign.com/articles/2016/12/08/arrow-what-we-leave-behind-review
7.html	3089	Xbox One Games, Wikis, Cheats, News, Reviews & Videos - IGN	http://www.ign.com/xbox-one
998.html	1004	Create a Wiki - IGN	http://www.ign.com/wikis/create?objectid=20060197
1670.html	4660	IGN (@IGN) | تويتر	https://twitter.com/IGN?lang=ar
250.html	2996	Marvel's Agents of SHIELD: "Laws of Inferno Dynamics" Review - IGN	http://www.ign.com/articles/2016/12/07/marvels-agents-of-shield-laws-of-inferno-dynamics-review
1754.html	1371	How to Follow IGN - IGN Community Central - IGN	http://www.ign.com/wikis/ign-community-central/How_to_Follow_IGN
39.html	7531	IGN Anime Club - Top Movie Trailers, Top Video Game Trailers - IGN	http://www.ign.com/watch/ign-anime-club
1588.html	14930	Steep Review - YouTube	https://www.youtube.com/watch?v=9UM-4TOGSyI&list=PLraFbwCoisJBTl0oXn8UoUam5HXWUZ7ES
